"SecurityTermWeekYear","SecurityTermDayMonth","SecurityType","CUSIP","AnnouncementDate","AuctionDate","IssueDate","MaturityDate","OfferingAmount","CompetitiveTenderAccepted","NonCompetitiveTenderAccepted","TreasuryDirectTenderAccepted","TypeOfAuction","CompetitiveClosingTime","NonCompetitiveClosingTime","NetLongPositionReport","MaxAward","MaxSingleBid","CompetitiveBidDecimals","CompetitiveBidIncrement","AllocationPercentageDecimals","MinBidAmount","MultiplesToBid","MinToIssue","MultiplesToIssue","MatureSecurityAmount","CurrentlyOutstanding","SOMAIncluded","SOMAHoldings","MaturingDate","FIMAIncluded","Series","InterestRate","Spread","FirstInterestPaymentDate","StandardInterestPayment","FrequencyInterestPayment","StrippableIndicator","MinStripAmount","CorpusCUSIP","TINTCUSIP1","TINTCUSIP2","ReOpeningIndicator","OriginalIssueDate","BackDated","BackDatedDate","LongShortNormalCoupon","LongShortCouponFirstIntPmt","InflationIndexSecurity","FloatingRate","RefCPIIssueDate","RefCPIDatedDate","IndexRatioOnIssueDate","CPIBasePeriod","TIINConversionFactor","AccruedInterest","DatedDate","AnnouncedCUSIP","UnadjustedPrice","UnadjustedAccruedInterest","AnnouncementPDFName","OriginalDatedDate","AdjustedAmountCurrentlyOutstanding","NLPExclusionAmount","MaximumNonCompAward","AdjustedAccruedInterest","Callable","CallDate","PrimaryDealerTendered","PrimaryDealerAccepted","DirectBidderTendered","DirectBidderAccepted","IndirectBidderTendered","IndirectBidderAccepted","CompetitiveTendered","CompetitiveAccepted","NonCompetitiveAccepted","SOMATendered","SOMAAccepted","FIMATendered","FIMAAccepted","TotalTendered","TotalAccepted","BidToCoverRatio","ReleaseTime","AmountAcceptedBelowLowRate","HighAllocationPercentage","LowDiscountRate","HighDiscountRate","MedianDiscountRate","LowYield","HighYield","MedianYield","LowDiscountMargin","HighDiscountMargin","MedianDiscountMargin","LowPrice","HighPrice","MedianPrice","OriginalCUSIP","TreasuryDirectAccepted","InvestmentRate","AdjustedPrice","IndexRatio","FRNIndexDeterminationDate","FRNIndexDeterminationRate","ResultsPDFName","AllTenderAccepted","ScheduledPurchasesInTD"
"2-YEAR","0-MONTH","NOTE","912828C81","2014-04-17","2014-04-22","2014-04-30","2016-04-30","32.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","11200000000.0","11200000000","11200000000","3","0.001","2","100","100","100","100","72152000000.0","","N","1000000.0","2014-04-30","Y","AY-2016","0.375","","2014-10-31","1.875","SEMI-ANNUAL","Y","100","912820M61","","","N","","N","","N","","N","N","","","","","","","2014-04-30","","","","A_20140417_3.pdf","","","0.0","5000000.0","","N","","83944000000","18319942500","14183000000","6020442500","8676300000","7419805000","106803300000","31760190000","140283700","0","0","100000000","100000000","107043583700","32000473700","3.35","","5","49.77","","","","0.379","0.447","0.435","","","","","99.856801","","","84774200","","","","","","R_20140422_2.pdf",NA,NA
"2-YEAR","0-MONTH","NOTE","912828C40","2014-03-20","2014-03-25","2014-03-31","2016-03-31","32.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","11200000000.0","11200000000","11200000000","3","0.001","2","100","100","100","100","71440000000.0","","N","1000000.0","2014-03-31","Y","AX-2016","0.375","","2014-09-30","1.875","SEMI-ANNUAL","Y","100","912820L96","","","N","","N","","N","","N","N","","","","","","","2014-03-31","","","","A_20140320_4.pdf","","","0.0","5000000.0","","N","","71115000000","11914475000","15223000000","6836000000","15795928000","12994628000","102133928000","31745103000","155010000","0","0","100000000","100000000","102388938000","32000113000","3.20","","5","89.97","","","","0.415","0.469","0.450","","","","","99.813097","","","86478000","","","","","","R_20140325_2.pdf",NA,NA
"2-YEAR","0-MONTH","NOTE","912828B82","2014-02-20","2014-02-25","2014-02-28","2016-02-29","32.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","11200000000.0","11200000000","11200000000","3","0.001","2","100","100","100","100","68915000000.0","","N","295000000.0","2014-02-28","Y","AW-2016","0.250","","2014-08-31","1.250","SEMI-ANNUAL","Y","100","912820L54","","","N","","N","","N","","N","N","","","","","","","2014-02-28","","","","A_20140220_6.pdf","","","0.0","5000000.0","","N","","82600000000","14734495000","15975000000","6118809000","16520931000","10889692100","115095931000","31742996100","157202300","89897700","89897700","100000000","100000000","115443031000","32090096100","3.60","","5","96.03","","","","0.288","0.340","0.320","","","","","99.820762","","","94059300","","","","","","R_20140225_2.pdf",NA,NA
"2-YEAR","0-MONTH","NOTE","912828B41","2014-01-23","2014-01-28","2014-01-31","2016-01-31","32.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","11200000000.0","11200000000","11200000000","3","0.001","2","100","100","100","100","66932000000.0","","N","1000000.0","2014-01-31","Y","AU-2016","0.375","","2014-07-31","1.875","SEMI-ANNUAL","Y","100","912820K89","","","N","","N","","N","","N","N","","","","","","","2014-01-31","","","","A_20140123_1.pdf","","","0.0","5000000.0","","N","","72665000000","15590150000","19819000000","7096000000","12727400000","9023405000","105211400000","31709555000","175460700","0","0","115000000","115000000","105501860700","32000015700","3.30","","5","92.01","","","","0.300","0.380","0.360","","","","","99.990047","","","97276200","","","","","","R_20140128_2.pdf",NA,NA
"2-YEAR","0-MONTH","NOTE","912828A67","2013-12-12","2013-12-17","2013-12-31","2015-12-31","32.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","11200000000.0","11200000000","11200000000","3","0.001","2","100","100","100","100","66175000000.0","","N","1000000.0","2013-12-31","Y","AU-2015","0.250","","2014-06-30","1.250","SEMI-ANNUAL","Y","100","912820K30","","","N","","N","","N","","N","N","","","","","","","2013-12-31","","","","A_20131212_1.pdf","","","0.0","5000000.0","","N","","82975000000","15326375000","26993000000","9614000000","10376000000","6850830000","120344000000","31791205000","108951400","0","0","100000000","100000000","120552951400","32000156400","3.77","","5","70.75","","","","0.300","0.345","0.329","","","","","99.810817","","","73320400","","","","","","R_20131217_2.pdf",NA,NA
"2-YEAR","0-MONTH","NOTE","912828A26","2013-11-21","2013-11-25","2013-12-02","2015-11-30","32.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","11200000000.0","11200000000","11200000000","3","0.001","2","100","100","100","100","64404000000.0","","N","1000000.0","2013-11-30","Y","AT-2015","0.250","","2014-05-31","1.250","SEMI-ANNUAL","Y","100","912820J73","","","N","","Y","2013-11-30","N","","N","N","","","","","","0.01374","2013-11-30","","","","A_20131121_2.pdf","","","0.0","5000000.0","","N","","81693000000","15950840000","20555150000","8660150000","10671500000","7131740000","112919650000","31742730000","147326500","0","0","110000000","110000000","113176976500","32000056500","3.54","","5","16.64","","","","0.250","0.300","0.280","","","","","99.900644","","","96256500","","","","","","R_20131125_3.pdf",NA,NA
"2-YEAR","0-MONTH","NOTE","912828WB2","2013-10-24","2013-10-28","2013-10-31","2015-10-31","32.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","11200000000.0","11200000000","11200000000","3","0.001","2","100","100","100","100","61394000000.0","","N","1000000.0",NA,"Y","AS-2015","0.250",NA,"2014-04-30","1.250","SEMI-ANNUAL","Y","100","912820J32","","","N","","N","","N","","N",NA,NA,"","","","","","2013-10-31","","","","A_20131024_2.pdf","","","0.0","5000000.0","","N","","74400000000","12702980000","20072000000","9832000000","11367300000","9214300000","105839300000","31749280000","140872000","0","0","110000000","110000000","106090172000","32000152000","3.32","","5","13.56","","","","0.250","0.323","0.305",NA,NA,NA,"","99.854588","","","80336000","","","",NA,NA,"R_20131028_3.pdf",NA,NA
"2-YEAR","0-MONTH","NOTE","912828VY3","2013-09-19","2013-09-24","2013-09-30","2015-09-30","33.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","11550000000.0","11550000000","11550000000","3","0.001","2","100","100","100","100","62308000000.0","","N","2000000.0",NA,"Y","AR-2015","0.250",NA,"2014-03-31","1.250","SEMI-ANNUAL","Y","100","912820H67","","","N","","N","","N","","N",NA,NA,"","","","","","2013-09-30","","","","A_20130919_3.pdf","","","0.0","5000000.0","","N","","72545000000","17741820000","18521000000","7129495000","10644300000","7857664000","101710300000","32728979000","171117200","0","0","100000000","100000000","101981417200","33000096200","3.09","","5","49.47","","","","0.289","0.348","0.330",NA,NA,NA,"","99.804850","","","108981200","","","",NA,NA,"R_20130924_2.pdf",NA,NA
"2-YEAR","0-MONTH","NOTE","912828VU1","2013-08-22","2013-08-27","2013-09-03","2015-08-31","34.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","11900000000.0","11900000000","11900000000","3","0.001","2","100","100","100","100","59907000000.0","","N","1000000.0",NA,"Y","AQ-2015","0.375",NA,"2014-02-28","1.875","SEMI-ANNUAL","Y","100","912820H34","","","N","","Y","2013-08-31","N","","N",NA,NA,"","","","","0.03108","2013-08-31","","","","A_20130822_1.pdf","","","0.0","5000000.0","","N","","79722000000","18430200000","19446000000","8810460000","9606585000","6516385000","108774585000","33757045000","142980500","0","0","100000000","100000000","109017565500","34000025500","3.21","","5","70.92","","","","0.330","0.386","0.372",NA,NA,NA,"","99.978190","","","73683500","","","",NA,NA,"R_20130827_3.pdf",NA,NA
"2-YEAR","0-MONTH","NOTE","912828VN7","2013-07-18","2013-07-23","2013-07-31","2015-07-31","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","59355000000.0","","N","1000000.0",NA,"Y","AP-2015","0.250",NA,"2014-01-31","1.250","SEMI-ANNUAL","Y","100","912820G50","","","N","","N","","N","","N",NA,NA,"","","","","","2013-07-31","","","","A_20130718_3.pdf","","","0.0","5000000.0","","N","","76935000000","18488170000","16107000000","5683749000","14379950000","10550950000","107421950000","34722869000","147186600","0","0","130000000","130000000","107699136600","35000055600","3.08","","5","42.14","","","","0.285","0.336","0.315",NA,NA,NA,"","99.828720","","","80161600","","","",NA,NA,"R_20130723_3.pdf",NA,NA
"2-YEAR","0-MONTH","NOTE","912828VH0","2013-06-20","2013-06-25","2013-07-01","2015-06-30","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","58271000000.0","","N","1000000.0",NA,"Y","AN-2015","0.375",NA,"2013-12-31","1.875","SEMI-ANNUAL","Y","100","912820F93","","","N","","Y","2013-06-30","N","","N",NA,NA,"","","","","0.01019","2013-06-30","","","","A_20130620_6.pdf","","","0.0","5000000.0","","N","","78360000000","19581850000","14041000000","2722197500","14244905000","12452867500","106645905000","34756915000","133180900","0","0","110000000","110000000","106889085900","35000095900","3.05","","5","4.79","","","","0.348","0.430","0.404",NA,NA,NA,"","99.890734","","","78844900","","","",NA,NA,"R_20130625_3.pdf",NA,NA
"2-YEAR","0-MONTH","NOTE","912828VD9","2013-05-23","2013-05-28","2013-05-31","2015-05-31","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","58463000000.0","","N","1000000.0",NA,"Y","AM-2015","0.250",NA,"2013-11-30","1.250","SEMI-ANNUAL","Y","100","912820F69","","","N","","N","","N","","N",NA,NA,"","","","","","2013-05-31","","","","A_20130523_5.pdf","","","0.0","5000000.0","","N","","82300000000","22745200000","15168000000","4378000000","8692900000","7617900000","106160900000","34741100000","158960600","0","0","100000000","100000000","106419860600","35000060600","3.04","","5","80.95","","","","0.205","0.283","0.271",NA,NA,NA,"","99.934233","","","71018300","","","",NA,NA,"R_20130528_3.pdf",NA,NA
"2-YEAR","0-MONTH","NOTE","912828UY4","2013-04-18","2013-04-23","2013-04-30","2015-04-30","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","57950000000.0","","N","1000000.0",NA,"Y","AL-2015","0.125",NA,"2013-10-31","0.625","SEMI-ANNUAL","Y","100","912820C54","","","N","","N","","N","","N",NA,NA,"","","","","","2013-04-30","","","","A_20130418_3.pdf","","","0.0","5000000.0","","N","","90575000000","17937985000","22060000000","9639895000","14112600000","7180520000","126747600000","34758400000","141809200","0","0","100000000","100000000","126989409200","35000209200","3.63","","5","3.83","","","","0.164","0.233","0.220",NA,NA,NA,"","99.784628","","","107622900","","","",NA,NA,"R_20130423_2.pdf",NA,NA
"2-YEAR","0-MONTH","NOTE","912828UT5","2013-03-21","2013-03-26","2013-04-01","2015-03-31","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","57140000000.0","","N","1000000.0",NA,"Y","AK-2015","0.250",NA,"2013-09-30","1.250","SEMI-ANNUAL","Y","100","912820C21","","","N","","Y","2013-03-31","N","","N",NA,NA,"","","","","0.00683","2013-03-31","","","","A_20130321_5.pdf","","","0.0","5000000.0","","N","","84914000000","19976610000","17997000000","7570000000","11226500000","7157488000","114137500000","34704098000","166205100","0","0","130000000","130000000","114433705100","35000303100","3.27","","5","90.28","","","","0.199","0.255","0.244",NA,NA,NA,"","99.990045","","","111050100","","","",NA,NA,"R_20130326_2.pdf",NA,NA
"2-YEAR","0-MONTH","NOTE","912828UP3","2013-02-21","2013-02-25","2013-02-28","2015-02-28","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","54706000000.0","","N","1000000.0",NA,"Y","AJ-2015","0.250",NA,"2013-08-31","1.250","SEMI-ANNUAL","Y","100","912820B55","","","N","","N","","N","","N",NA,NA,"","","","","","2013-02-28","","","","A_20130221_5.pdf","","","0.0","5000000.0","","N","","83805000000","16126760000","22696000000","10974380000","9708345000","7644508000","116209345000","34745648000","154473300","0","0","100000000","100000000","116463818300","35000121300","3.33","","5","74.46","","","","0.199","0.257","0.249",NA,NA,NA,"","99.986045","","","102688300","","","",NA,NA,"R_20130225_3.pdf",NA,NA
"2-YEAR","0-MONTH","NOTE","912828UK4","2013-01-24","2013-01-28","2013-01-31","2015-01-31","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","51397000000.0","","N","1000000.0",NA,"Y","AH-2015","0.250",NA,"2013-07-31","1.250","SEMI-ANNUAL","Y","100","912820A98","","","N","","N","","N","","N",NA,NA,"","","","","","2013-01-31","","","","A_20130124_3.pdf","","","0.0","5000000.0","","N","","92001000000","18061165000","21983000000","10416460000","17532100000","6255100000","131516100000","34732725000","167386200","0","0","100000000","100000000","131783486200","35000111200","3.77","","5","13.41","","","","0.225","0.288","0.269",NA,NA,NA,"","99.924273","","","117939900","","","",NA,NA,"R_20130128_3.pdf",NA,NA
"2-YEAR","0-MONTH","NOTE","912828UD0","2012-12-13","2012-12-17","2012-12-31","2014-12-31","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","52030000000.0","","N","382000000.0",NA,"Y","AU-2014","0.125",NA,"2013-06-30","0.625","SEMI-ANNUAL","Y","100","912820A49","","","N","","N","","N","","N",NA,NA,"","","","","","2012-12-31","","","","A_20121213_5.pdf","","","0.0","5000000.0","","N","","98003000000","18733775000","18293000000","9888513000","9142200000","6155277000","125438200000","34777565000","122600000","0","0","100000000","100000000","125660800000","35000165000","3.59","","5","23.59","","","","0.186","0.245","0.234",NA,NA,NA,"","99.760733","","","85269000","","","",NA,NA,"R_20121217_3.pdf",NA,NA
"2-YEAR","0-MONTH","NOTE","912828TZ3","2012-11-21","2012-11-27","2012-11-30","2014-11-30","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","52236000000.0","","N","100000000.0",NA,"Y","AT-2014","0.250",NA,"2013-05-31","1.250","SEMI-ANNUAL","Y","100","912820SL2","","","N","","N","","N","","N",NA,NA,"","","","","","2012-11-30","","","","A_20121121_3.pdf","","","0.0","5000000.0","","N","","104626000000","14573155000","19461000000","8216134500","18016400000","11960073200","142103400000","34749362700","150708800","0","0","100000000","100000000","142354108800","35000071500","4.07","","5","12.99","","","","0.204","0.270","0.261",NA,NA,NA,"","99.960135","","","105938800","","","",NA,NA,"R_20121127_2.pdf",NA,NA
"2-YEAR","0-MONTH","NOTE","912828TU4","2012-10-18","2012-10-23","2012-10-31","2014-10-31","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","51226000000.0","","N","1000000.0",NA,"Y","AS-2014","0.250",NA,"2013-04-30","1.250","SEMI-ANNUAL","Y","100","912820SF5","","","N","","N","","N","","N",NA,NA,"","","","","","2012-10-31","","","","A_20121018_2.pdf","","","0.0","5000000.0","","N","","97605000000","9835060000","24788000000","13252720000","17902500000","11640436000","140295500000","34728216000","161837500","0","0","110000000","110000000","140567337500","35000053500","4.02","","5","92.36","","","","0.239","0.295","0.283",NA,NA,NA,"","99.910331","","","107303500","","","",NA,NA,"R_20121023_2.pdf","N","0.0"
"2-YEAR","0-MONTH","NOTE","912828TQ3","2012-09-20","2012-09-25","2012-10-01","2014-09-30","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","52178000000.0","","N","825000000.0",NA,"Y","AR-2014","0.250",NA,"2013-03-31","1.250","SEMI-ANNUAL","Y","100","912820SB4","","","N","","Y","2012-09-30","N","","N",NA,NA,"","","","","0.00687","2012-09-30","","","","A_20120920_4.pdf","","","0.0","5000000.0","","N","","93465000000","19214050000","16368000000","6077420000","15860900000","9437090000","125693900000","34728560000","171519200","0","0","100000000","100000000","125965419200","35000079200","3.60","","5","20.14","","","","0.207","0.273","0.264",NA,NA,NA,"","99.954218","","","114835700","","","",NA,NA,"R_20120925_2.pdf","N","0.0"
"2-YEAR","0-MONTH","NOTE","912828TL4","2012-08-23","2012-08-28","2012-08-31","2014-08-31","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","50441000000.0","","N","3556000000.0",NA,"Y","AQ-2014","0.250",NA,"2013-02-28","1.250","SEMI-ANNUAL","Y","100","912820RX7","","","N","","N","","N","","N",NA,NA,"","","","","","2012-08-31","","","","A_20120823_1.pdf","","","0.0","5000000.0","","N","","102170000000","21378170000","17764000000","5579000000","17734300000","7738378900","137668300000","34695548900","204542300","0","0","100000000","100000000","137972842300","35000091200","3.94","","5","9.01","","","","0.200","0.273","0.265",NA,NA,NA,"","99.954157","","","129405300","","","",NA,NA,"R_20120828_2.pdf","N","0.0"
"2-YEAR","0-MONTH","NOTE","912828TF7","2012-07-19","2012-07-24","2012-07-31","2014-07-31","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","53413000000.0","","N","1639000000.0",NA,"Y","AP-2014","0.125",NA,"2013-01-31","0.625","SEMI-ANNUAL","Y","100","912820RR0","","","N","","N","","N","","N",NA,NA,"","","","","","2012-07-31","","","","A_20120719_3.pdf","","","0.0","5000000.0","","N","","108030000000","20538120000","15567000000","3451240000","16214300000","10705006000","139811300000","34694366000","205763500","0","0","100000000","100000000","140117063500","35000129500","4.00","","5","77.80","","","","0.167","0.220","0.212",NA,NA,NA,"","99.810521","","","139068000","","","",NA,NA,"R_20120724_3.pdf","N","0.0"
"2-YEAR","0-MONTH","NOTE","912828TA8","2012-06-21","2012-06-26","2012-07-02","2014-06-30","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","56084000000.0","","N","1011000000.0",NA,"Y","AN-2014","0.250",NA,"2012-12-31","1.250","SEMI-ANNUAL","Y","100","912820E78","","","N","","Y","2012-06-30","N","","N",NA,NA,"","","","","0.01359","2012-06-30","","","","A_20120621_3.pdf","","","0.0","5000000.0","","N","","96275000000","20974960000","14351900000","2745000000","15680872800","11004072800","126307772800","34724032800","175978900","357340200","357340200","100000000","100000000","126941091900","35357351900","3.62","","5","90.32","","","","0.242","0.313","0.300",NA,NA,NA,"","99.874829","","","121566600","","","",NA,NA,"R_20120626_3.pdf","N","0.0"
"2-YEAR","0-MONTH","NOTE","912828SW1","2012-05-17","2012-05-22","2012-05-31","2014-05-31","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","59149000000.0","","N","2000000.0",NA,"Y","AM-2014","0.250",NA,"2012-11-30","1.250","SEMI-ANNUAL","Y","100","912820E52","","","N","","N","","N","","N",NA,NA,"","","","","","2012-05-31","","","","A_20120517_3.pdf","","","0.0","5000000.0","","N","","104934000000","20022030000","16218000000","3125814500","16942800000","11667132500","138094800000","34814977000","185356900","469400","469400","0","0","138280626300","35000803300","3.95","","5","24.43","","","","0.227","0.300","0.286",NA,NA,NA,"","99.900374","","","114652400","","","",NA,NA,"R_20120522_2.pdf","N","0.0"
"2-YEAR","0-MONTH","NOTE","912828SR2","2012-04-19","2012-04-24","2012-04-30","2014-04-30","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","58298000000.0","","N","3090000000.0",NA,"Y","AL-2014","0.250",NA,"2012-10-31","1.250","SEMI-ANNUAL","Y","100","912820D79","","","N","","N","","N","","N",NA,NA,"","","","","","2012-04-30","","","","A_20120419_3.pdf","","","0.0","5000000.0","","N","","96986000000","20916839700","18468000000","2725000000","15971700000","11195551600","131425700000","34837391300","162743700","940358300","940358300","0","0","132528802000","35940493300","3.76","","5","99.89","","","","0.207","0.270","0.250",NA,NA,NA,"","99.960135","","","104958700","","","",NA,NA,"R_20120424_2.pdf","N","0.0"
"2-YEAR","0-MONTH","NOTE","912828SL5","2012-03-22","2012-03-27","2012-04-02","2014-03-31","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","59492000000.0","","N","2350000000.0",NA,"Y","AK-2014","0.250",NA,"2012-09-30","1.250","SEMI-ANNUAL","Y","100","912820C96","","","N","","Y","2012-03-31","N","","N",NA,NA,"","","","","0.01366","2012-03-31","","","","A_20120322_3.pdf","","","0.0","5000000.0","","N","","91674000000","15423000000","18386000000","7455200000","19057373000","11933773000","129117373000","34811973000","188225000","830890100","830890100","0","0","130136488100","35831088100","3.69","13:01","5","42.80","","","","0.279","0.340","0.324",NA,NA,NA,"","99.821248","","","129907700","","","",NA,NA,"R_20120327_2.pdf","N","0.0"
"2-YEAR","0-MONTH","NOTE","912828SG6","2012-02-16","2012-02-21","2012-02-29","2014-02-28","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","60186000000.0","","N","1533000000.0",NA,"Y","AJ-2014","0.250",NA,"2012-08-31","1.250","SEMI-ANNUAL","Y","100","912820ZZ3","","","N","","N","","N","","N",NA,NA,"","","","","","2012-02-29","","","","A_20120216_2.pdf","","","0.0","5000000.0","","N","","90840000000","19036102500","14135000000","3310857500","18782409000","12485589000","123757409000","34832549000","167593800","496813200","496813200","0","0","124421816000","35496956000","3.54","13:01","5","79.09","","","","0.220","0.310","0.290",NA,NA,NA,"","99.880464","","","113217500","","","",NA,NA,"R_20120221_3.pdf","N","0.0"
"2-YEAR","0-MONTH","NOTE","912828SB7","2012-01-19","2012-01-24","2012-01-31","2014-01-31","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","57501000000.0","","N","2145000000.0",NA,"Y","AH-2014","0.250",NA,"2012-07-31","1.250","SEMI-ANNUAL","Y","100","912820ZU4","","","N","","N","","N","","N",NA,NA,"","","","","","2012-01-31","","","","A_20120119_3.pdf","","","0.0","5000000.0","","N","","97710000000","20479120000","16711000000","2876745600","16584800000","11447652000","131005800000","34803517600","196678200","658621200","658621200","0","0","131861099400","35658817000","3.75","13:01","5","38.96","","","","0.179","0.250","0.242",NA,NA,NA,"","100.000000","","","117513200","","","",NA,NA,"R_20120124_2.pdf","N","0.0"
"2-YEAR","0-MONTH","NOTE","912828RW2","2011-12-15","2011-12-19","2012-01-03","2013-12-31","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","58234000000.0","","N","3206000000.0",NA,"Y","AT-2013","0.125",NA,"2012-06-30","0.625","SEMI-ANNUAL","Y","100","912820ZQ3","","","N","","Y","2011-12-31","N","","N",NA,NA,"","","","","0.01030","2011-12-31","","","","A_20111215_2.pdf","","","0.0","5000000.0","","N","","88548000000","22175420000","18435000000","5118137600","13608170000","7541170000","120591170000","34834727600","165281400","1133425000","1133425000","0","0","121889876400","36133434000","3.45","13:01","5","91.24","","","","0.166","0.240","0.229",NA,NA,NA,"","99.771630","","","94628100","","","",NA,NA,"R_20111219_3.pdf","N","0.0"
"2-YEAR","0-MONTH","NOTE","912828RS1","2011-11-17","2011-11-21","2011-11-30","2013-11-30","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","57374000000.0","","N","4984000000.0",NA,"Y","AS-2013","0.250",NA,"2012-05-31","1.250","SEMI-ANNUAL","Y","100","912820ZJ9","","","N","","N","","N","","N",NA,NA,"","","","","","2011-11-30","","","","A_20111117_4.pdf","","","0.0","5000000.0","","N","","94417000000","16203440000","22686000000","3913800000","25214500000","14709820000","142317500000","34827060000","173183200","1585824100","1585824100","0","0","144076507300","36586067300","4.07","13:01","5","8.48","","","","0.206","0.280","0.250",NA,NA,NA,"","99.940209","","","112082200","","","",NA,NA,"R_20111121_3.pdf","N","0.0"
"2-YEAR","0-MONTH","NOTE","912828RN2","2011-10-20","2011-10-25","2011-10-31","2013-10-31","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","57236000000.0","","N","4030000000.0",NA,"Y","AR-2013","0.250",NA,"2012-04-30","1.250","SEMI-ANNUAL","Y","100","912820ZF7","","","N","","N","","N","","N",NA,NA,"","","","","","2011-10-31","","","","A_20111020_5.pdf","","","0.0","5000000.0","","N","","92065000000","18295080000","13798000000","2855480000","21359000000","13651000000","127222000000","34801560000","198445900","1330744800","1330744800","0","0","128751190700","36330750700","3.64","13:01","5","10.48","","","","0.210","0.281","0.265",NA,NA,NA,"","99.938217","","","105070600","","","",NA,NA,"R_20111025_2.pdf","N","0.0"
"2-YEAR","0-MONTH","NOTE","912828RK8","2011-09-22","2011-09-27","2011-09-30","2013-09-30","35.0","Y","Y","Y","SINGLE PRICE","13:00","12:00","12250000000.0","12250000000","12250000000","3","0.001","2","100","100","100","100","57837000000.0","","N","3425000000.0",NA,"Y","AQ-2013","0.125",NA,"2012-03-31","0.625","SEMI-ANNUAL","Y","100","912820ZA8","","","N","","N","","N","","N",NA,NA,"","","","","","2011-09-30","","","","A_20110922_3.pdf","","","0.0","5000000.0","","N","","95724000000","17776950000","16653000000","4231587500","19158300000","12787062500","131535300000","34795600000","204508200","1089663100","1089663100","0","0","132829471300","36089771300","3.76","13:01","5","19.45","","","","0.171","0.249","0.225",NA,NA,NA,"","99.752770","","","130140200","","","",NA,NA,"R_20110927_2.pdf","N","0.0"
